start_date_local,name,distance,total_elevation_gain,moving_time,average_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,average_heartrate,max_heartrate,trainer,average_temp
"2023-12-30T11:59:10Z","Buffalo Bridge Ride","30670.7","173","5637","5.441","68.1","160.6","877","201","905.2","true","133.1","151","false","3"
"2023-12-28T10:28:37Z","Morning Ride","21039.6","59","3696","5.693","69","150.6","876","168","556.7","true","130.6","146","false","12"
"2023-12-24T13:16:50Z","City Skiffle","27984","126","4995","5.602","67.6","151.8","1003","188","758.2","true","133.8","152","false","8"
"2023-12-22T12:58:38Z","Well there's your problem","31095.6","112","5836","5.328","66.3","152.3","955","171","889","true","134.2","150","false","6"
"2023-12-20T15:51:05Z","Afternoon Ride","21242.2","71","3637","5.841","69.8","157.6","1054","184","573.3","true","131.6","149","false","4"
"2023-12-18T13:02:00Z","Maybe There is No Nevada","21063.7","67","3840","5.485","69.7","150.7","875","169","578.6","true","130.1","149","false","6"
"2023-12-16T12:18:45Z","Turn Left at the Fork in the Road... I don't believe that. Movin' Right Along...","30255.2","113","5180","5.841","69.7","153.1","918","172","793","true","135.1","150","false","12"
"2023-12-14T12:37:28Z","Lunch Ride","21070.2","109","4085","5.158","68.3","160.9","769","179","657.2","true","139.7","155","false","8"
"2023-12-11T15:58:27Z","Friggin cold. Hail. Why I do this?","21081","73","4231","4.983","66.7","145.9","885","160","617.4","true","127.5","144","false","2"
"2023-12-08T14:35:21Z","2000 Miles and Minus 80 pounds","26873.8","86","4586","5.86","68.5","154.1","1004","174","706.5","true","134","153","false","12"
"2023-12-05T12:27:53Z","Friggin Cold and Sharp Hail - 1 Ride Left","31007.3","136","6028","5.144","66.2","142.6","1110","170","859.5","true","139.3","158","false","4"
"2023-12-04T13:38:47Z","Tonawander - 2 Rides Left","28998.3","88","5186","5.592","68.7","149.1","1018","166","773.3","true","134.1","146","false","6"
"2023-11-30T11:43:50Z","Windbreakers make me a Sweatmonster - 3 Rides Left!","29282.2","158","5902","4.961","65.9","135.5","856","156","799.4","true","137.6","154","false","11"
"2023-11-26T12:09:43Z","5 Rides Left!","30266.6","121","5500","5.503","68.2","145.2","813","170","798.9","true","130.7","148","false","10"
"2023-11-24T11:14:47Z","Snooooooowwww!!! 6 Rides Left","27809.8","85","5151","5.399","67.6","141.6","836","157","729.5","true","124.2","138","false","3"
"2023-11-23T10:10:47Z","Windy Lebrun Run Reminisce - 7 Rides Left","35040.5","184","6682","5.244","65.7","137.7","1014","153","919.8","true","134.2","151","false","9"
"2023-11-20T14:00:23Z","8 Rides Left","29360.4","110","5579","5.263","64.8","138.1","931","163","770.3","true","130.6","146","false","5"
"2023-11-19T11:36:10Z","Lunch Ride","28890.1","143","5102","5.663","68.5","153.2","808","168","781.4","true","124","144","false","11"
"2023-11-16T13:45:45Z","Afternoon Ride","30757","142","5484","5.608","64.8","141.8","1012","173","777.7","true","127.6","144","false","15"
"2023-11-15T14:53:44Z","Afternoon Ride","25222.4","110","4681","5.388","65.3","133.8","747","151","626.4","true","126","142","false","14"
"2023-11-14T15:33:53Z","Afternoon Ride","26464.1","91","4577","5.782","66.9","150.2","934","175","687.3","true","127.2","144","false","8"
"2023-11-13T14:59:14Z","Afternoon Ride","29137.1","149","5233","5.568","67.2","153.3","1080","170","802.3","true","135.2","151","false","12"
"2023-11-12T11:33:24Z","Lunch Ride","31816.1","113","5783","5.502","65.3","137.1","1021","165","793.1","true","129.4","147","false","10"
"2023-11-10T12:10:47Z","Riley Street","27434.1","103","4753","5.772","66.4","151.5","919","170","720.2","true","128.9","144","false","12"
"2023-11-09T11:02:48Z","Lunch Ride","27959.8","147","5412","5.166","64.9","144","942","168","779.4","true","131.8","150","false","10"
"2023-11-08T12:06:49Z","Lunch Ride","24896.7","89","4456","5.587","64.7","150.5","870","173","670.7","true","132.6","148","false","5"
"2023-11-06T13:18:56Z","Afternoon Ride","30083","128","5200","5.785","66.4","148.4","931","173","771.9","true","134.2","155","false","16"
"2023-11-05T09:24:57Z","Morning Ride","17770.3","103","4661","3.813","41","60.1","879","100","279.9","true","94.1","116","false","10"
"2023-11-04T15:09:35Z","Afternoon Ride","31864.2","109","5498","5.796","66.7","147.7","1034","171","812.1","true","125.9","145","false","13"
"2023-11-03T11:49:00Z","LaSalle Park is REALLY closed","29825.9","212","5522","5.401","65.3","157.2","1038","186","868.2","true","134.2","155","false","16"
"2023-11-01T11:51:49Z","Lunch Ride","25612.2","127","4868","5.261","65.3","147.2","773","167","716.7","true","133.2","148","false","8"
"2023-10-30T11:32:53Z","The New Nevada ?","24804","80","4437","5.59","67.7","155.2","825","174","688.7","true","128.5","145","false","8"
"2023-10-27T11:10:36Z","It Can't Rain All the Time","31727","160","5412","5.862","65.8","153","878","173","828.2","true","129.9","142","false","24"
"2023-10-26T15:14:32Z","Afternoon Ride","32229.4","169","5792","5.564","64.2","152.4","1030","185","882.4","true","131.2","150","false","22"
"2023-10-25T10:16:30Z","Morning Ride","27335.2","138","4884","5.597","65.1","154","846","178","752","true","137.1","150","false","23"
"2023-10-23T12:34:32Z","Lunch Ride","24771.2","101","4214","5.878","65.6","164.2","854","183","692","true","134.2","146","false","16"
"2023-10-21T15:05:41Z","Afternoon Ride","28072.3","134","5147","5.454","65.1","145.5","762","169","749","true","128.9","151","false","13"
"2023-10-19T11:48:39Z","Lunch Ride","24750.6","102","4274","5.791","66.9","160","929","181","684","true","136.5","152","false","19"
"2023-10-18T11:45:40Z","Lunch Ride","20859.3","81","3453","6.041","69.5","173.3","842","190","598.4","true","136.2","153","false","16"
"2023-10-16T15:00:27Z","Afternoon Ride","32697.2","148","5774","5.663","66.6","156.3","1019","181","902.2","true","134","151","false","13"
"2023-10-15T11:51:38Z","Lunch Ride","13800.1","106","3585","3.849","47.5","81.8","508","128","293.3","true","107.1","131","false","11"
"2023-10-13T11:28:43Z","Lunch Ride","25233.1","86","4226","5.971","66.9","158.9","900","188","671.5","true","131.6","153","false","17"
"2023-10-12T11:37:01Z","Lunch Ride","26779.7","145","5025","5.329","63.9","144.9","835","183","728.2","true","137.7","158","false","19"
"2023-10-10T11:40:19Z","35,000 Human Powered Bicycle Miles","25385.5","123","4456","5.697","67.5","163.8","911","187","729.9","true","137.8","151","false","14"
"2023-10-08T12:31:34Z","Lunch Ride","35072","198","6623","5.295","65.7","146.1","812","171","967.8","true","133.7","153","false","13"
"2023-10-05T16:00:59Z","Swan Song","40038.9","161","7824","5.117","60.8","122.4","898","153","958","true","131.8","148","false","27"
"2023-10-02T15:53:17Z","Bowties!","41453.6","152","7766","5.338","62.2","133.5","1039","162","1036.7","true","132","151","false","25"
"2023-10-01T10:09:01Z","Morning Ride","30291.9","61","7416","4.085","40.9","50.2","747","63","372","true","96","110","false","24"
"2023-09-30T10:51:40Z","Morning Ride","36662.8","105","6625","5.534","62.8","124.5","967","147","824.6","true","132.9","158","false","24"
"2023-09-28T16:09:11Z","I May Never Make a Left Again","36002.8","147","6804","5.291","61.3","129.4","1014","160","880.7","true","130.1","160","false","23"
"2023-09-26T16:20:10Z","Three Rights Make a Left","36923.1","125","6767","5.456","62.8","131.3","876","151","888.4","true","135.3","150","false","22"
"2023-09-24T09:03:34Z","Morning Ride","59058.9","470","11721","5.039","60.6","135.1","926","175","1583.1","true","135.8","151","false","18"
"2023-09-23T11:44:25Z","Lunch Ride","20822.2","120","5532","3.764","40.3","57.5","722","94","317.8","true","undefined","undefined","false","24"
"2023-09-21T17:34:46Z","Afternoon Ride","14907.4","33","3627","4.11","36.6","49.6","773","68","179.8","true","103.3","120","false","23"
"2023-09-19T16:40:04Z","Afternoon Ride","26899.8","140","5328","5.049","60.4","133.8","868","176","713","true","134.9","165","false","21"
"2023-09-17T09:15:58Z","It's No Maine, But Then Again, What Is?","28874.2","76","5412","5.335","63.2","124","704","147","670.9","true","133.1","145","false","21"
